id,age,fleeb
90176,40,-1
90263,62,19669
90345,64,10140
90434,59,9437
91011,36,20945
91149,53,15201
91190,23,20149
91476,32,14870
91526,67,13006
91585,56,13081
91634,51,18969
91723,36,22017
91729,59,19403
91776,37,20501
91799,39,24234
91834,60,13248
92087,69,16945
92090,46,13177
92123,45,17950
92265,68,10758
92323,58,15953
92451,66,13887
92557,55,11765
92702,40,21952
92844,26,20841
92854,46,17852
92873,34,18771
92973,46,14445
93075,46,21265
93100,63,16918
93206,29,21109
93382,44,21989
93429,49,13539
93452,54,-1
93461,62,22794
93547,45,14453
93561,26,29962
93639,32,13667
93647,67,22927
93669,53,9993
93840,54,20686
93884,50,20858
94296,28,14677
94304,71,20358
94609,65,10046
94698,62,17405
94823,55,17589
94858,46,18104
94918,51,18646
94925,61,9792
94979,43,13789
95173,52,10477
95190,43,16241
95201,44,15799
95342,46,18458
95385,25,16324
95398,67,14910
95403,57,16772
95428,41,19742
95548,48,16865
95635,56,17066
95647,58,15518
96042,52,18621
96226,45,17445
96265,57,21305
96279,45,17569
96350,63,9539
96974,40,17111
97285,39,11400
97584,56,25164
97602,34,17282
97709,55,5426
97781,53,19630
97911,51,21522
97923,52,15095
98063,24,24456
98087,54,17647
98165,74,-1
98301,39,21737
98327,41,13615
98343,39,18542
98562,54,14340
98569,67,13820
98602,54,15848
98994,35,18918
99081,53,23041
99165,62,14790
99178,47,28772
99339,52,26568
99485,41,23966
99515,52,15809
99562,40,22948
99684,39,21940
99843,50,11547
99868,56,16953
